9.814230000000000587e+01 5.400000000000000000e+01
1.130468999999999937e+02 6.500000000000000000e+01
1.300000000000000000e+02 5.600000000000000000e+01
9.000000000000000000e+01 5.300000000000000000e+01
1.077652999999999963e+02 6.000000000000000000e+01
1.215413999999999959e+02 5.600000000000000000e+01
1.252108999999999952e+02 5.800000000000000000e+01
1.029474000000000018e+02 6.200000000000000000e+01
1.137732000000000028e+02 6.100000000000000000e+01
1.291399999999999864e+02 5.900000000000000000e+01
1.266748000000000047e+02 6.500000000000000000e+01
