5.000000000000000000e-01 -9.414092454856359815e-02 -2.567020297439678300e-01
1.000000000000000000e+00 -1.055207949737723583e+00 1.404441300942675108e-01
0.000000000000000000e+00 -1.381937786777983623e-01 -1.133416680447997926e+00
8.511774088316831355e-01 -1.213170589252733578e+00 1.720189584906140767e-01
5.468237422163140238e-01 -9.342198242084345239e-01 -3.172158430280666574e-01
9.152265702941951853e-01 -1.025862970600634361e+00 -1.159739739251563068e-01
4.318235439458966152e-01 -4.551850749614775316e-01 1.775298940636440559e-01
2.604495283752648604e-01 -5.064245307537176277e-01 -6.507391166378627689e-01
3.598086568838908539e-01 -4.794523957844613049e-01 -4.286012008203258228e-01
3.196877743834581342e-01 -5.571946703891348385e-01 -6.160609794369992231e-02
2.249483141176634726e-01 -2.363221059494362841e-01 -3.141463149172701863e-01
2.903095138155986632e-01 -4.881800815684520511e-01 -7.028156849212898738e-01
3.860631517415157865e-01 -3.163231226325894374e-01 -5.807383230161426990e-01
3.431333504662045786e-01 -6.920096253372477468e-01 -2.811476478199722573e-01
